scenario,scenario_display,sample_idx,target_region,target_region_idx,aggregate_type,method,mse,mae,crps,interval_score,ci_width,coverage
HCM,Multi-territory MI (μ=1.7),45,All Regions,-1,Overall Avg,Point Estimate,0.037489,0.120008,0.120008,,0.000000,
HCM,Multi-territory MI (μ=1.7),45,All Regions,-1,Overall Avg,MCMC,0.017227,,0.090092,1.030460,1.030460,1.000000
HCM,Multi-territory MI (μ=1.7),45,All Regions,-1,Diseased Avg,Point Estimate,0.037489,0.120008,0.120008,,0.000000,
HCM,Multi-territory MI (μ=1.7),45,All Regions,-1,Diseased Avg,MCMC,0.017227,,0.090092,1.030460,1.030460,1.000000
HCM,Multi-territory MI (μ=1.7),46,All Regions,-1,Overall Avg,Point Estimate,0.049889,0.137640,0.137640,,0.000000,
HCM,Multi-territory MI (μ=1.7),46,All Regions,-1,Overall Avg,MCMC,0.014584,,0.086077,1.072782,1.072782,1.000000
HCM,Multi-territory MI (μ=1.7),46,All Regions,-1,Diseased Avg,Point Estimate,0.049889,0.137640,0.137640,,0.000000,
HCM,Multi-territory MI (μ=1.7),46,All Regions,-1,Diseased Avg,MCMC,0.014584,,0.086077,1.072782,1.072782,1.000000
HCM,Multi-territory MI (μ=1.7),47,All Regions,-1,Overall Avg,Point Estimate,0.041802,0.121861,0.121861,,0.000000,
HCM,Multi-territory MI (μ=1.7),47,All Regions,-1,Overall Avg,MCMC,0.009128,,0.087557,1.116426,1.116426,1.000000
HCM,Multi-territory MI (μ=1.7),47,All Regions,-1,Diseased Avg,Point Estimate,0.041802,0.121861,0.121861,,0.000000,
HCM,Multi-territory MI (μ=1.7),47,All Regions,-1,Diseased Avg,MCMC,0.009128,,0.087557,1.116426,1.116426,1.000000
HCM,Multi-territory MI (μ=1.7),48,All Regions,-1,Overall Avg,Point Estimate,0.032687,0.125954,0.125954,,0.000000,
HCM,Multi-territory MI (μ=1.7),48,All Regions,-1,Overall Avg,MCMC,0.017731,,0.082838,0.876837,0.876837,1.000000
HCM,Multi-territory MI (μ=1.7),48,All Regions,-1,Diseased Avg,Point Estimate,0.032687,0.125954,0.125954,,0.000000,
HCM,Multi-territory MI (μ=1.7),48,All Regions,-1,Diseased Avg,MCMC,0.017731,,0.082838,0.876837,0.876837,1.000000
HCM,Multi-territory MI (μ=1.7),49,All Regions,-1,Overall Avg,Point Estimate,0.031323,0.111261,0.111261,,0.000000,
HCM,Multi-territory MI (μ=1.7),49,All Regions,-1,Overall Avg,MCMC,0.009277,,0.080353,0.984956,0.984956,1.000000
HCM,Multi-territory MI (μ=1.7),49,All Regions,-1,Diseased Avg,Point Estimate,0.031323,0.111261,0.111261,,0.000000,
HCM,Multi-territory MI (μ=1.7),49,All Regions,-1,Diseased Avg,MCMC,0.009277,,0.080353,0.984956,0.984956,1.000000
HCM,Multi-territory MI (μ=1.7),50,All Regions,-1,Overall Avg,Point Estimate,0.035186,0.128167,0.128167,,0.000000,
